County,Year of Year,Population
Adams,2010,101407
Adams,2000,91292
Adams,1990,78274
Adams,1980,68292
Adams,1970,56937
Adams,1960,51906
Adams,1950,44197
Adams,1940,39435
Adams,1930,37128
Adams,1920,34583
Adams,1910,34319
Adams,1900,34496
Allegheny,2010,1223348
Allegheny,2000,1281666
Allegheny,1990,1336449
Allegheny,1980,1450085
Allegheny,1970,1605016
Allegheny,1960,1628587
Allegheny,1950,1515237
Allegheny,1940,1411539
Allegheny,1930,1374410
Allegheny,1920,1185808
Allegheny,1910,1018463
Allegheny,1900,775058
Armstrong,2010,68941
Armstrong,2000,72392
Armstrong,1990,73478
Armstrong,1980,77768
Armstrong,1970,75590
Armstrong,1960,79524
Armstrong,1950,80842
Armstrong,1940,81087
Armstrong,1930,79298
Armstrong,1920,75568
Armstrong,1910,67880
Armstrong,1900,52551
Beaver,2010,170539
Beaver,2000,181412
Beaver,1990,186093
Beaver,1980,204441
Beaver,1970,208418
Beaver,1960,206948
Beaver,1950,175192
Beaver,1940,156754
Beaver,1930,149062
Beaver,1920,111621
Beaver,1910,78353
Beaver,1900,56432
Bedford,2010,49762
Bedford,2000,49984
Bedford,1990,47919
Bedford,1980,46784
Bedford,1970,42353
Bedford,1960,42451
Bedford,1950,40775
Bedford,1940,40809
Bedford,1930,37309
Bedford,1920,38277
Bedford,1910,38879
Bedford,1900,39468
Berks,2010,411442
Berks,2000,373638
Berks,1990,336523
Berks,1980,312509
Berks,1970,296382
Berks,1960,275414
Berks,1950,255740
Berks,1940,241884
Berks,1930,231717
Berks,1920,200854
Berks,1910,183222
Berks,1900,159615
Blair,2010,127089
Blair,2000,129144
Blair,1990,130542
Blair,1980,136621
Blair,1970,135356
Blair,1960,137270
Blair,1950,139514
Blair,1940,140358
Blair,1930,139840
Blair,1920,128334
Blair,1910,108858
Blair,1900,85099
Bradford,2010,62622
Bradford,2000,62761
Bradford,1990,60967
Bradford,1980,62919
Bradford,1970,57962
Bradford,1960,54925
Bradford,1950,51722
Bradford,1940,50615
Bradford,1930,49039
Bradford,1920,53166
Bradford,1910,54526
Bradford,1900,59403
Bucks,2010,625249
Bucks,2000,597635
Bucks,1990,541174
Bucks,1980,479211
Bucks,1970,415056
Bucks,1960,308567
Bucks,1950,144620
Bucks,1940,107715
Bucks,1930,96727
Bucks,1920,82476
Bucks,1910,76530
Bucks,1900,71190
Butler,2010,183862
Butler,2000,174083
Butler,1990,152013
Butler,1980,147912
Butler,1970,127941
Butler,1960,114639
Butler,1950,97320
Butler,1940,87590
Butler,1930,80480
Butler,1920,77270
Butler,1910,72689
Butler,1900,56962
Cambria,2010,143679
Cambria,2000,152598
Cambria,1990,163029
Cambria,1980,183263
Cambria,1970,186785
Cambria,1960,203283
Cambria,1950,209541
Cambria,1940,213459
Cambria,1930,203146
Cambria,1920,197839
Cambria,1910,166131
Cambria,1900,104837
Cameron,2010,5085
Cameron,2000,5974
Cameron,1990,5913
Cameron,1980,6674
Cameron,1970,7096
Cameron,1960,7586
Cameron,1950,7023
Cameron,1940,6852
Cameron,1930,5307
Cameron,1920,6297
Cameron,1910,7644
Cameron,1900,7048
Carbon,2010,65249
Carbon,2000,58802
Carbon,1990,56846
Carbon,1980,53285
Carbon,1970,50573
Carbon,1960,52889
Carbon,1950,57558
Carbon,1940,61735
Carbon,1930,63380
Carbon,1920,62565
Carbon,1910,52846
Carbon,1900,44510
Centre,2010,153990
Centre,2000,135758
Centre,1990,123786
Centre,1980,112760
Centre,1970,99267
Centre,1960,78580
Centre,1950,65922
Centre,1940,52608
Centre,1930,46294
Centre,1920,44304
Centre,1910,43424
Centre,1900,42894
Chester,2010,498886
Chester,2000,433501
Chester,1990,376396
Chester,1980,316660
Chester,1970,278311
Chester,1960,210608
Chester,1950,159141
Chester,1940,135626
Chester,1930,126629
Chester,1920,115120
Chester,1910,109213
Chester,1900,95695
Clarion,2010,39988
Clarion,2000,41765
Clarion,1990,41699
Clarion,1980,43362
Clarion,1970,38414
Clarion,1960,37408
Clarion,1950,38344
Clarion,1940,38410
Clarion,1930,34531
Clarion,1920,36170
Clarion,1910,36638
Clarion,1900,34283
Clearfield,2010,81642
Clearfield,2000,83382
Clearfield,1990,78097
Clearfield,1980,83578
Clearfield,1970,74619
Clearfield,1960,81534
Clearfield,1950,85957
Clearfield,1940,92094
Clearfield,1930,86727
Clearfield,1920,103236
Clearfield,1910,93768
Clearfield,1900,80614
Clinton,2010,39238
Clinton,2000,37914
Clinton,1990,37182
Clinton,1980,38971
Clinton,1970,37721
Clinton,1960,37619
Clinton,1950,36532
Clinton,1940,34557
Clinton,1930,32319
Clinton,1920,33555
Clinton,1910,31545
Clinton,1900,29197
Columbia,2010,67295
Columbia,2000,64151
Columbia,1990,63202
Columbia,1980,61967
Columbia,1970,55114
Columbia,1960,53489
Columbia,1950,53460
Columbia,1940,51413
Columbia,1930,48803
Columbia,1920,48349
Columbia,1910,48467
Columbia,1900,39896
Crawford,2010,88765
Crawford,2000,90366
Crawford,1990,86169
Crawford,1980,88869
Crawford,1970,81342
Crawford,1960,77956
Crawford,1950,78948
Crawford,1940,71644
Crawford,1930,62980
Crawford,1920,60667
Crawford,1910,61565
Crawford,1900,63643
Cumberland,2010,235406
Cumberland,2000,213674
Cumberland,1990,195257
Cumberland,1980,178541
Cumberland,1970,158177
Cumberland,1960,124816
Cumberland,1950,94457
Cumberland,1940,74806
Cumberland,1930,68236
Cumberland,1920,58578
Cumberland,1910,54479
Cumberland,1900,50344
Dauphin,2010,268100
Dauphin,2000,251798
Dauphin,1990,237813
Dauphin,1980,232317
Dauphin,1970,223834
Dauphin,1960,220255
Dauphin,1950,197784
Dauphin,1940,177410
Dauphin,1930,165231
Dauphin,1920,153116
Dauphin,1910,136152
Dauphin,1900,114443
Delaware,2010,558979
Delaware,2000,550864
Delaware,1990,547651
Delaware,1980,555007
Delaware,1970,600035
Delaware,1960,553154
Delaware,1950,414234
Delaware,1940,310756
Delaware,1930,280264
Delaware,1920,173084
Delaware,1910,117906
Delaware,1900,94762
Elk,2010,31946
Elk,2000,35112
Elk,1990,34878
Elk,1980,38338
Elk,1970,37770
