Period End Year,State FIPS,County FIPS,County Name,Population (B02001_001E),Population by Race: White Alone (B02001_002E),Population by Race: Black or African American Alone (B02001_003E),Population by Race: American Indian and Alaska Native Alone (B02001_004E),Population by Race: Asian Alone (B02001_005E),Population by Race: Native Hawaiian and Other Pacific Islander Alone (B02001_006E),Population by Race: Some Other Race Alone (B02001_007E),Population by Race: Two or More Races (B02001_008E),Population: Ethnicity (B03003_001E),Population: Not Hispanic or Latino (B03003_002E),Population: Hispanic or Latino (B03003_003E),% white
2010,42,1,"Adams County, Pennsylvania",100839,93905,1518,106,716,11,3275,1308,100839,95188,5651,0.931236922
2010,42,3,"Allegheny County, Pennsylvania",1223066,1003321,158648,1436,32667,401,5117,21476,1223066,1205439,17627,0.820332672
2010,42,5,"Armstrong County, Pennsylvania",69489,68107,589,36,126,0,216,415,69489,69092,397,0.98011196
2010,42,7,"Beaver County, Pennsylvania",171569,156869,10212,208,689,10,455,3126,171569,169591,1978,0.914320186
2010,42,9,"Bedford County, Pennsylvania",49882,49037,190,39,114,25,82,395,49882,49453,429,0.983060022
2010,42,11,"Berks County, Pennsylvania",407310,344302,18497,560,5140,130,31001,7680,407310,346042,61268,0.845307014
2010,42,13,"Blair County, Pennsylvania",127071,122519,2187,79,748,9,326,1203,127071,125840,1231,0.964177507
2010,42,15,"Bradford County, Pennsylvania",62415,60911,323,103,306,0,193,579,62415,61723,692,0.975903228
2010,42,17,"Bucks County, Pennsylvania",622859,564298,22380,853,23062,150,4787,7329,622859,598379,24480,0.905980326
2010,42,19,"Butler County, Pennsylvania",182554,176961,1816,187,1544,15,435,1596,182554,180682,1872,0.96936249
2010,42,21,"Cambria County, Pennsylvania",144741,136759,5178,122,819,72,379,1412,144741,142756,1985,0.944853221
2010,42,23,"Cameron County, Pennsylvania",5197,5114,3,7,17,0,0,56,5197,5169,28,0.984029248
2010,42,25,"Carbon County, Pennsylvania",64563,62132,961,94,331,0,441,604,64563,62591,1972,0.962346855
2010,42,27,"Centre County, Pennsylvania",151411,135751,4332,351,7863,78,1279,1757,151411,147865,3546,0.896572904
2010,42,29,"Chester County, Pennsylvania",490571,428615,29867,475,17686,59,6875,6994,490571,461568,29003,0.873706354
2010,42,31,"Clarion County, Pennsylvania",40290,39293,440,22,126,0,95,314,40290,40045,245,0.975254406
2010,42,33,"Clearfield County, Pennsylvania",82131,78959,1758,42,369,22,339,642,82131,80396,1735,0.961378773
2010,42,35,"Clinton County, Pennsylvania",38970,37760,541,57,169,0,132,311,38970,38568,402,0.968950475
2010,42,37,"Columbia County, Pennsylvania",66642,64167,930,121,574,0,244,606,66642,65387,1255,0.962861259
2010,42,39,"Crawford County, Pennsylvania",89153,85835,1530,196,335,8,219,1030,89153,88300,853,0.962783081
2010,42,41,"Cumberland County, Pennsylvania",231336,212397,6991,288,6230,90,1326,4014,231336,225441,5895,0.918132068
2010,42,43,"Dauphin County, Pennsylvania",264823,196732,46436,299,7859,78,6009,7410,264823,247850,16973,0.742881094
2010,42,45,"Delaware County, Pennsylvania",556468,411963,106149,377,25364,80,4406,8129,556468,541436,15032,0.740317503
2010,42,47,"Elk County, Pennsylvania",32480,32063,92,53,101,6,20,145,32480,32306,174,0.98716133
2010,42,49,"Erie County, Pennsylvania",279234,248289,18911,376,2978,73,2854,5753,279234,270483,8751,0.889178968
2010,42,51,"Fayette County, Pennsylvania",138807,129926,5565,247,436,0,337,2296,138807,137754,1053,0.936019077
2010,42,53,"Forest County, Pennsylvania",7585,6323,1199,18,0,0,28,17,7585,7331,254,0.833618985
2010,42,55,"Franklin County, Pennsylvania",146558,137439,4684,153,1261,0,1083,1938,146558,140884,5674,0.9377789
2010,42,57,"Fulton County, Pennsylvania",14839,14538,136,33,4,0,9,119,14839,14718,121,0.979715614
2010,42,59,"Greene County, Pennsylvania",39003,37125,1334,139,138,0,0,267,39003,38558,445,0.951849858
2010,42,61,"Huntingdon County, Pennsylvania",45830,42804,2366,34,217,9,53,347,45830,45170,660,0.93397338
2010,42,63,"Indiana County, Pennsylvania",88745,84495,2198,181,737,45,443,646,88745,87825,920,0.952109978
2010,42,65,"Jefferson County, Pennsylvania",45244,44536,121,85,48,0,59,395,45244,44969,275,0.984351516
2010,42,67,"Juniata County, Pennsylvania",24385,23779,90,46,77,8,98,287,24385,23874,511,0.975148657
2010,42,69,"Lackawanna County, Pennsylvania",213731,200192,5138,230,3161,95,2252,2663,213731,204768,8963,0.936654018
2010,42,71,"Lancaster County, Pennsylvania",511250,461689,18235,890,9464,191,13135,7646,511250,470064,41186,0.903059169
2010,42,73,"Lawrence County, Pennsylvania",91682,86324,3236,65,350,19,213,1475,91682,90748,934,0.941558867
2010,42,75,"Lebanon County, Pennsylvania",131341,118633,2301,142,1252,0,6277,2736,131341,120458,10883,0.903244227
2010,42,77,"Lehigh County, Pennsylvania",343946,279462,19830,790,10258,48,26342,7216,343946,284805,59141,0.812517081
2010,42,79,"Luzerne County, Pennsylvania",319120,296697,10401,344,2838,35,5253,3552,319120,301823,17297,0.929734896
2010,42,81,"Lycoming County, Pennsylvania",116376,108227,4958,222,620,39,394,1916,116376,114912,1464,0.929976971
2010,42,83,"McKean County, Pennsylvania",43853,41937,979,85,181,0,234,437,43853,43113,740,0.956308576
2010,42,85,"Mercer County, Pennsylvania",117296,108034,6357,180,770,17,209,1729,117296,116041,1255,0.921037376
2010,42,87,"Mifflin County, Pennsylvania",46583,45649,262,59,77,0,35,501,46583,46062,521,0.979949767
2010,42,89,"Monroe County, Pennsylvania",168080,134284,21589,288,3530,50,4490,3849,168080,147552,20528,0.798929081
2010,42,91,"Montgomery County, Pennsylvania",790497,655774,66003,492,48336,267,6381,13244,790497,760057,30440,0.829571776
2010,42,93,"Montour County, Pennsylvania",18152,17354,266,15,358,0,76,83,18152,17873,279,0.956037902
2010,42,95,"Northampton County, Pennsylvania",294536,256359,13467,448,6748,143,11102,6269,294536,265816,28720,0.870382568
2010,42,97,"Northumberland County, Pennsylvania",94099,90386,1802,150,245,38,728,750,94099,92079,2020,0.960541557
2010,42,99,"Perry County, Pennsylvania",45599,44442,303,89,117,0,274,374,45599,45047,552,0.974626637
2010,42,101,"Philadelphia County, Pennsylvania",1504950,623627,661929,3952,92889,376,91822,30355,1504950,1329832,175118,0.414383867
2010,42,103,"Pike County, Pennsylvania",56993,51233,2898,63,479,73,1128,1119,56993,52227,4766,0.898934957
2010,42,105,"Potter County, Pennsylvania",17583,17228,81,49,53,2,36,134,17583,17428,155,0.979810044
2010,42,107,"Schuylkill County, Pennsylvania",148288,141124,3812,114,789,6,1059,1384,148288,144704,3584,0.951688606
2010,42,109,"Snyder County, Pennsylvania",39400,38228,365,68,204,0,187,348,39400,38807,593,0.970253807
2010,42,111,"Somerset County, Pennsylvania",78219,75666,1698,60,173,0,63,559,78219,77437,782,0.967360871
2010,42,113,"Sullivan County, Pennsylvania",6467,6134,186,131,6,0,0,10,6467,6457,10,0.948507809
2010,42,115,"Susquehanna County, Pennsylvania",43343,42635,145,63,80,18,32,370,43343,42809,534,0.983665182
2010,42,117,"Tioga County, Pennsylvania",41631,40663,241,51,174,18,43,441,41631,41227,404,0.976748096
2010,42,119,"Union County, Pennsylvania",44866,39060,3324,98,556,19,1051,758,44866,42598,2268,0.870592431
2010,42,121,"Venango County, Pennsylvania",55320,53766,547,53,158,26,22,748,55320,54806,514,0.971908894
2010,42,123,"Warren County, Pennsylvania",41877,41168,112,124,144,15,39,275,41877,41584,293,0.983069465
2010,42,125,"Washington County, Pennsylvania",206987,195671,6891,194,1282,0,440,2509,206987,204760,2227,0.9453299
2010,42,127,"Wayne County, Pennsylvania",52302,49787,1384,131,244,0,168,588,52302,50590,1712,0.951913885
2010,42,129,"Westmoreland County, Pennsylvania",365841,349822,7804,311,2580,92,942,4290,365841,362810,3031,0.956213218
2010,42,131,"Wyoming County, Pennsylvania",28262,27596,187,29,88,3,95,264,28262,27885,377,0.976434789
2010,42,133,"York County, Pennsylvania",428175,384221,22149,802,5380,43,7932,7648,428175,406345,21830,0.897345711
2011,42,1,"Adams County, Pennsylvania",101137,94174,1629,166,710,0,3032,1426,101137,95243,5894,0.931152793
2011,42,3,"Allegheny County, Pennsylvania",1223525,1000387,159207,1357,33659,435,5230,23250,1223525,1204855,18670,0.817626939
2011,42,5,"Armstrong County, Pennsylvania",69208,67786,622,27,117,0,212,444,69208,68804,404,0.979453242
2011,42,7,"Beaver County, Pennsylvania",171027,156152,10260,205,813,15,357,3225,171027,168998,2029,0.913025429
2011,42,9,"Bedford County, Pennsylvania",49864,48978,273,40,125,9,73,366,49864,49419,445,0.98223167
2011,42,11,"Berks County, Pennsylvania",409624,346213,18837,545,5288,139,29931,8671,409624,345326,64298,0.845197059
2011,42,13,"Blair County, Pennsylvania",127090,122435,2261,118,816,0,245,1215,127090,125828,1262,0.963372413
2011,42,15,"Bradford County, Pennsylvania",62522,61048,346,59,327,3,127,612,62522,61801,721,0.976424299
2011,42,17,"Bucks County, Pennsylvania",624351,563523,22647,635,23817,130,5165,8434,624351,598658,25693,0.902574033
2011,42,19,"Butler County, Pennsylvania",183317,177451,2044,179,1781,16,377,1469,183317,181365,1952,0.968000786
2011,42,21,"Cambria County, Pennsylvania",144489,136070,5246,123,783,45,591,1631,144489,142424,2065,0.941732589
2011,42,23,"Cameron County, Pennsylvania",5130,5004,32,24,22,0,0,48,5130,5078,52,0.975438596
